recipe_id	recipe_name	category	menu_roles	pricing_status	ingredient	qty_per_person	unit
pasta_nerano	Pasta alla Nerano	primo	primo	ALLOWED	pasta	90	g
pasta_nerano	Pasta alla Nerano	primo	primo	ALLOWED	zucchine	180	g
pasta_nerano	Pasta alla Nerano	primo	primo	ALLOWED	provolone del Monaco o provolone	35	g
pasta_nerano	Pasta alla Nerano	primo	primo	ALLOWED	olio extravergine di oliva	15	ml
pasta_nerano	Pasta alla Nerano	primo	primo	ALLOWED	basilico	3	g
spaghetti_vongole	Spaghetti alle vongole	primo	primo	ALLOWED	spaghetti	90	g
spaghetti_vongole	Spaghetti alle vongole	primo	primo	ALLOWED	vongole	250	g
spaghetti_vongole	Spaghetti alle vongole	primo	primo	ALLOWED	aglio	0.5	spicchio
spaghetti_vongole	Spaghetti alle vongole	primo	primo	ALLOWED	olio extravergine di oliva	12	ml
spaghetti_vongole	Spaghetti alle vongole	primo	primo	ALLOWED	prezzemolo	3	g
scarpariello	Paccheri allo scarpariello	primo	primo	BLOCKED_UNTIL_QUANTITIES_VERIFIED	paccheri	90	g
scarpariello	Paccheri allo scarpariello	primo	primo	BLOCKED_UNTIL_QUANTITIES_VERIFIED	pomodorini	180	g
scarpariello	Paccheri allo scarpariello	primo	primo	BLOCKED_UNTIL_QUANTITIES_VERIFIED	pecorino o parmigiano	25	g
scarpariello	Paccheri allo scarpariello	primo	primo	BLOCKED_UNTIL_QUANTITIES_VERIFIED	aglio	0.5	spicchio
scarpariello	Paccheri allo scarpariello	primo	primo	BLOCKED_UNTIL_QUANTITIES_VERIFIED	olio extravergine di oliva	12	ml
scarpariello	Paccheri allo scarpariello	primo	primo	BLOCKED_UNTIL_QUANTITIES_VERIFIED	basilico	3	g
scarpariello	Paccheri allo scarpariello	primo	primo	BLOCKED_UNTIL_QUANTITIES_VERIFIED	peperoncino		g
puttanesca	Spaghetti alla puttanesca	primo	primo	BLOCKED_UNTIL_QUANTITIES_VERIFIED	spaghetti	90	g
puttanesca	Spaghetti alla puttanesca	primo	primo	BLOCKED_UNTIL_QUANTITIES_VERIFIED	pomodori pelati	180	g
puttanesca	Spaghetti alla puttanesca	primo	primo	BLOCKED_UNTIL_QUANTITIES_VERIFIED	olive nere	25	g
puttanesca	Spaghetti alla puttanesca	primo	primo	BLOCKED_UNTIL_QUANTITIES_VERIFIED	capperi	8	g
puttanesca	Spaghetti alla puttanesca	primo	primo	BLOCKED_UNTIL_QUANTITIES_VERIFIED	acciughe	12	g
